epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.937,2.22302,3.76163,1.92688,0.53461,0.1119,0.07876,0.03039,2.30134,3.29726,2.02188,0.000368353,0.000368353,0.000368353
2,466.209,2.10705,2.94675,1.82796,0.35622,0.12392,0.07874,0.03212,2.22897,3.03641,1.91233,0.000592426,0.000592426,0.000592426
3,684.854,2.08199,2.64251,1.80827,0.38126,0.14491,0.11925,0.04954,2.27232,2.94935,2.08834,0.000669848,0.000669848,0.000669848
4,901.746,1.99209,2.40515,1.75176,0.48368,0.27352,0.2773,0.12406,2.02318,2.56283,1.8105,0.000451066,0.000451066,0.000451066
5,1116.53,1.90068,2.14216,1.66319,0.39266,0.41668,0.35049,0.1632,1.88854,1.98367,1.68698,0.000231088,0.000231088,0.000231088
