epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,5437.22,1.74715,1.49638,0.01309,0.76337,0.60287,0.66869,0.3599,1.70053,1.30615,0.0149,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,5567.91,1.72539,1.4703,0.0128,0.79079,0.64389,0.69246,0.36712,1.71764,1.34237,0.01495,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,5699.38,1.71794,1.47916,0.0129,0.74042,0.65052,0.7055,0.38263,1.68449,1.28135,0.01473,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,5830.91,1.71063,1.44693,0.01279,0.7986,0.59716,0.67993,0.37257,1.70524,1.3034,0.01493,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,5961.55,1.71237,1.44315,0.01279,0.74474,0.65081,0.69571,0.37678,1.69227,1.30697,0.01475,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6091.91,1.71221,1.42325,0.01269,0.75879,0.65543,0.70062,0.37755,1.70081,1.26016,0.01501,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6223.05,1.71878,1.40875,0.01278,0.78697,0.65352,0.70366,0.37296,1.69913,1.28861,0.01481,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,6354.29,1.69725,1.40578,0.01266,0.75834,0.64689,0.70333,0.38036,1.68326,1.24331,0.01472,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,6484.69,1.70253,1.41408,0.0128,0.73222,0.70565,0.72589,0.38939,1.69145,1.23096,0.01469,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,6615.85,1.68944,1.4095,0.01257,0.76587,0.67101,0.71756,0.39413,1.68597,1.22721,0.01463,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,6746.53,1.6887,1.37564,0.01249,0.80631,0.66034,0.71951,0.39685,1.69393,1.23072,0.01479,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,6877.02,1.68689,1.34726,0.01253,0.74078,0.65863,0.7118,0.40056,1.67604,1.21308,0.01448,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,7009.05,1.68173,1.35784,0.01258,0.71783,0.66336,0.70781,0.39347,1.6678,1.22953,0.01433,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,7140.77,1.67512,1.35843,0.01243,0.75356,0.67796,0.7132,0.39714,1.65825,1.20844,0.01423,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7271.8,1.67797,1.33058,0.01237,0.7617,0.68708,0.71623,0.3996,1.65176,1.19266,0.01429,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,7403.16,1.66897,1.31818,0.01231,0.78789,0.65926,0.72457,0.40498,1.63621,1.19933,0.0142,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,7535.01,1.6648,1.3268,0.01235,0.80084,0.66757,0.73025,0.41376,1.63637,1.20516,0.01407,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,7666.22,1.66255,1.29606,0.01224,0.81778,0.65397,0.73002,0.41277,1.62975,1.18917,0.01402,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,7796.92,1.65606,1.29304,0.01222,0.81032,0.69527,0.7409,0.42117,1.63389,1.17575,0.0141,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,7928.39,1.65706,1.30015,0.01224,0.74082,0.70843,0.7323,0.41225,1.63979,1.17097,0.01416,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,8059.28,1.64457,1.28296,0.01202,0.78903,0.68902,0.73809,0.41602,1.64093,1.17954,0.01416,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,8190.25,1.64099,1.27366,0.01218,0.81204,0.71074,0.74815,0.42654,1.63692,1.15424,0.0141,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,8320.97,1.63274,1.26028,0.012,0.81011,0.69908,0.75476,0.42389,1.63179,1.15854,0.01409,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,8452.17,1.62691,1.26874,0.01197,0.82892,0.67796,0.75299,0.42467,1.63294,1.13553,0.01415,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,8583.08,1.6343,1.23644,0.01196,0.78185,0.72467,0.75656,0.42414,1.62559,1.15182,0.014,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,8714.52,1.62235,1.24134,0.01191,0.86266,0.67063,0.75116,0.42186,1.62757,1.14326,0.01401,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,8844.83,1.63034,1.21972,0.01192,0.80933,0.70194,0.75121,0.41961,1.63273,1.13403,0.01401,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,8975.64,1.61153,1.21081,0.0118,0.82266,0.68408,0.74635,0.42302,1.63299,1.12882,0.014,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,9106.6,1.61524,1.22042,0.01181,0.79923,0.66996,0.73458,0.41912,1.63088,1.13335,0.01404,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,9237.68,1.59788,1.21924,0.01172,0.85551,0.63942,0.73771,0.41853,1.62806,1.12552,0.01398,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,9368.57,1.60678,1.18483,0.01166,0.86071,0.63997,0.73572,0.41717,1.62341,1.13041,0.01399,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,9499.91,1.59365,1.18913,0.01161,0.84305,0.64815,0.73622,0.41216,1.61655,1.13086,0.01391,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
