epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.47,2.04504,6.1035,0.01637,0.69789,0.05526,0.0465,0.01779,1.98965,3.31642,0.01854,0.00997326,0.00332442,0.00997326,0.00332442,0.00997326,0.00332442,0.00997326,0.00332442
2,325.654,1.93156,3.61688,0.01555,0.41504,0.1963,0.16626,0.07403,1.93156,3.21704,0.01802,0.0198414,0.00661381,0.0198414,0.00661381,0.0198414,0.00661381,0.0198414,0.00661381
3,457.803,2.01711,3.16913,0.01633,0.42514,0.22407,0.15123,0.05583,2.17478,3.46761,0.02139,0.0295776,0.0098592,0.0295776,0.0098592,0.0295776,0.0098592,0.0295776,0.0098592
4,588.917,2.08614,3.18742,0.01714,0.40637,0.16333,0.11968,0.04879,2.33682,3.55186,0.02454,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,718.873,2.05589,2.96756,0.01678,0.2901,0.22643,0.18592,0.0754,2.09513,2.98947,0.02042,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,849.645,2.03154,2.79047,0.01656,0.45975,0.2581,0.20529,0.08631,2.05251,2.59722,0.01993,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,981.709,2.02114,2.62704,0.0163,0.43796,0.26618,0.24457,0.10092,2.07232,2.69848,0.01969,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1113.07,1.99057,2.51865,0.01612,0.53731,0.39896,0.40654,0.18395,1.97635,2.20848,0.0186,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1244.18,1.96114,2.4231,0.0156,0.38797,0.3658,0.34253,0.15399,2.01553,2.33869,0.01889,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1374.91,1.95794,2.33152,0.0157,0.53003,0.42586,0.40648,0.18918,1.99506,2.07719,0.01859,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1505.74,1.93682,2.27309,0.01549,0.51219,0.45605,0.42724,0.20555,1.92914,2.02511,0.01803,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1636.88,1.92805,2.24265,0.01541,0.46583,0.47658,0.42689,0.19474,1.95385,2.02643,0.01809,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1767.7,1.9158,2.17561,0.0153,0.5245,0.46746,0.46746,0.2351,1.87952,1.93875,0.01766,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1899.05,1.90937,2.10681,0.01514,0.59929,0.46819,0.48058,0.22363,1.91723,1.89906,0.0177,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2030.08,1.89038,2.06184,0.01497,0.56342,0.47885,0.47991,0.22401,1.91649,1.88963,0.01783,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2161.16,1.90091,1.99475,0.01494,0.61844,0.49649,0.49616,0.24356,1.90505,1.82163,0.01784,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2293,1.87894,1.96454,0.01447,0.58992,0.50253,0.49971,0.24843,1.85179,1.84623,0.01692,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2423.15,1.88312,1.93914,0.01469,0.62702,0.46314,0.49485,0.2508,1.87621,1.88413,0.0172,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2554.97,1.86681,1.92143,0.01458,0.56324,0.53801,0.52586,0.24404,1.87705,1.80625,0.01703,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2686.2,1.85502,1.89191,0.01448,0.57895,0.55337,0.53157,0.25522,1.89503,1.66131,0.01766,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2818.03,1.83848,1.86527,0.01429,0.6193,0.52707,0.54087,0.26734,1.82933,1.68674,0.01654,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2948.92,1.84032,1.83105,0.01429,0.6679,0.56042,0.5865,0.28882,1.82838,1.68435,0.01642,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3080.56,1.82618,1.8095,0.01419,0.68698,0.5632,0.58108,0.30032,1.85046,1.65729,0.01685,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3211.06,1.83503,1.78267,0.01407,0.70576,0.54323,0.56604,0.29575,1.83194,1.57968,0.01692,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3342.42,1.81813,1.77902,0.01392,0.72905,0.53584,0.56984,0.29364,1.84593,1.63836,0.01652,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3473.83,1.81878,1.74068,0.01399,0.71257,0.57375,0.61985,0.30809,1.81217,1.50789,0.01643,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3604.69,1.80425,1.7055,0.01393,0.64315,0.53509,0.59487,0.29867,1.7857,1.5065,0.01617,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3734.59,1.80771,1.69089,0.01395,0.60567,0.5522,0.59143,0.29787,1.79268,1.51063,0.01583,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,3865.32,1.79148,1.66203,0.0137,0.73821,0.60751,0.64044,0.31968,1.79371,1.41659,0.01599,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,3996.39,1.79322,1.65404,0.01375,0.70781,0.58312,0.61238,0.30258,1.76981,1.47551,0.01562,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,4126.87,1.78459,1.64512,0.01367,0.7175,0.58209,0.60836,0.34185,1.7527,1.44021,0.01566,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,4258.01,1.77696,1.60444,0.01355,0.73753,0.61489,0.64955,0.33996,1.72885,1.45567,0.01531,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4389.47,1.7708,1.6187,0.01359,0.66234,0.60734,0.63913,0.33497,1.74308,1.4212,0.01567,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4520.18,1.76812,1.57515,0.01342,0.68751,0.5873,0.64181,0.33082,1.79281,1.43577,0.01589,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4650.74,1.7593,1.55934,0.01328,0.69562,0.60751,0.65567,0.33477,1.7431,1.38312,0.0155,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4781.09,1.76138,1.54168,0.01338,0.69762,0.63973,0.67912,0.34078,1.77043,1.40554,0.01567,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4912.8,1.74916,1.54294,0.01343,0.73388,0.63946,0.66776,0.3615,1.73115,1.35246,0.01525,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5044.15,1.75096,1.53613,0.01317,0.77179,0.62152,0.66347,0.3569,1.73704,1.34035,0.01528,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5175.27,1.74865,1.51551,0.01319,0.72749,0.65313,0.69903,0.3724,1.7204,1.33264,0.01511,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5306.09,1.73068,1.50942,0.01309,0.67764,0.68693,0.65858,0.34384,1.7371,1.35963,0.01523,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
