epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9346.12,1.76685,1.56518,0.01313,0.77557,0.65798,0.65642,0.34553,1.75158,1.32914,0.01554,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9636.74,1.75699,1.55269,0.01314,0.76751,0.62247,0.66802,0.34959,1.76291,1.33083,0.01545,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9928.99,1.74546,1.54011,0.01313,0.68561,0.62806,0.63866,0.32564,1.75888,1.34715,0.01543,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10217.6,1.73839,1.52391,0.01298,0.73675,0.61352,0.65976,0.34481,1.7286,1.31572,0.01515,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10503.6,1.7379,1.53422,0.01304,0.82637,0.59007,0.69061,0.36062,1.72058,1.2627,0.01497,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10793.9,1.72722,1.49081,0.0129,0.70567,0.62075,0.62956,0.33133,1.76346,1.30055,0.01534,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11081.3,1.72542,1.4761,0.01283,0.76852,0.64265,0.68703,0.35949,1.70009,1.22979,0.01478,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11371.8,1.71677,1.4756,0.01286,0.72431,0.64156,0.6748,0.36364,1.6968,1.26142,0.01459,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11658.6,1.71449,1.44289,0.01269,0.73021,0.62744,0.66849,0.34269,1.74164,1.26055,0.01501,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11941.9,1.69671,1.41919,0.01257,0.74433,0.6421,0.67336,0.35746,1.71855,1.20791,0.01492,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12225.1,1.70141,1.42226,0.01253,0.79385,0.61506,0.68179,0.3619,1.69932,1.19603,0.01476,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12504.8,1.69655,1.40617,0.0126,0.71719,0.64387,0.67937,0.35753,1.69999,1.20445,0.01479,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12787.2,1.69298,1.39514,0.01253,0.76403,0.61112,0.69988,0.37466,1.68261,1.19233,0.01452,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13073.5,1.68076,1.37071,0.01247,0.73348,0.59977,0.68046,0.36979,1.70748,1.17041,0.01479,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13362.1,1.67618,1.34582,0.01229,0.76071,0.65793,0.70677,0.37564,1.68873,1.15997,0.01452,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13652.5,1.67262,1.3402,0.01221,0.72916,0.65355,0.69707,0.36859,1.6966,1.16977,0.01446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13941.7,1.66768,1.32929,0.01217,0.73123,0.66111,0.69895,0.37269,1.67437,1.13886,0.01427,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14223.6,1.66035,1.32878,0.0122,0.78865,0.64884,0.71255,0.39379,1.65481,1.15557,0.01415,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14506.1,1.65378,1.3022,0.01213,0.75518,0.684,0.72623,0.3921,1.65963,1.13094,0.01416,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14789.5,1.65158,1.28945,0.01212,0.78697,0.70319,0.74503,0.39395,1.65033,1.11337,0.01412,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
